QB_diff,OL_adv_1,OL_adv_2,WR_adv_1,WR_adv_2,RB_adv_1,RB_adv_2,TE_diff,PK_diff,P_diff,QB1_vs_DB_2,QB2_vs_DB_1,PASS_SYNERGY_diff,team_1_is_home,season,team_1,team_2,target
-1.0,-0.25,0.3999999999999999,-0.25,1.0,0.0,1.0,-1.0,-3.0,2.0,-0.75,1.0,-0.8684210526315788,0,2021,Rice,Arkansas,0
1.0,1.25,-0.7999999999999998,0.75,-1.5,1.0,-1.333333333333333,1.0,3.0,0.0,0.75,-1.5,0.9999999999999996,1,2021,Oregon,Fresno State,1
-1.0,-0.7999999999999998,1.25,-1.5,0.75,-1.333333333333333,1.0,-1.0,-3.0,0.0,-1.5,0.75,-0.9999999999999996,0,2021,Fresno State,Oregon,0
-3.0,-0.6000000000000001,-0.25,1.0,0.0,1.0,0.0,1.0,-2.0,3.0,-3.0,0.0,-1.1052631578947372,1,2021,Cincinnati,Miami (OH),1
3.0,-0.25,-0.6000000000000001,0.0,1.0,0.0,1.0,-1.0,2.0,-3.0,0.0,-3.0,1.1052631578947372,0,2021,Miami (OH),Cincinnati,0
4.0,0.1499999999999999,-0.6000000000000001,1.5,0.5,-0.3333333333333335,-1.0,0.0,3.0,0.0,1.0,-3.5,2.2368421052631584,1,2021,Maryland,West Virginia,1
-4.0,-0.6000000000000001,0.1499999999999999,0.5,1.5,-1.0,-0.3333333333333335,0.0,-3.0,0.0,-3.5,1.0,-2.2368421052631584,0,2021,West Virginia,Maryland,0
0.0,-0.6000000000000001,0.10000000000000009,-0.75,0.25,0.0,-0.3333333333333335,-1.0,0.0,0.0,-0.25,0.25,-0.34210526315789513,1,2021,Navy,Marshall,0
0.0,0.10000000000000009,-0.6000000000000001,0.25,-0.75,-0.3333333333333335,0.0,1.0,0.0,0.0,0.25,-0.25,0.34210526315789513,0,2021,Marshall,Navy,1
0.0,0.75,0.0,0.5,0.75,-0.3333333333333335,1.3333333333333335,0.0,-2.0,0.0,0.0,-0.25,-0.13157894736842124,1,2021,Iowa,Indiana,1
0.0,0.0,0.75,0.75,0.5,1.3333333333333335,-0.3333333333333335,0.0,2.0,0.0,-0.25,0.0,0.13157894736842124,0,2021,Indiana,Iowa,0
0.0,-0.25,0.15000000000000036,-0.25,0.5,-1.0,1.0,0.0,3.0,-3.0,-0.25,0.0,-0.13157894736842124,1,2021,Miami,Alabama,0
0.0,0.15000000000000036,-0.25,0.5,-0.25,1.0,-1.0,0.0,-3.0,3.0,0.0,-0.25,0.13157894736842124,0,2021,Alabama,Miami,1
0.0,0.10000000000000009,-0.5,1.0,-0.25,-0.3333333333333335,1.0,0.0,3.0,1.0,1.0,0.75,0.26315789473684204,1,2021,Missouri,Central Michigan,1
0.0,-0.5,0.10000000000000009,-0.25,1.0,1.0,-0.3333333333333335,0.0,-3.0,-1.0,0.75,1.0,-0.26315789473684204,0,2021,Central Michigan,Missouri,0
-4.0,0.6000000000000001,-0.75,1.0,-0.5,1.0,0.0,0.0,3.0,2.0,-3.0,0.5,-1.842105263157895,1,2021,Mississippi State,Louisiana Tech,1
4.0,-0.75,0.6000000000000001,-0.5,1.0,0.0,1.0,0.0,-3.0,-2.0,0.5,-3.0,1.842105263157895,0,2021,Louisiana Tech,Mississippi State,0
1.0,-0.10000000000000009,-0.25,0.25,0.0,2.0,-1.6666666666666667,0.0,3.0,0.0,0.75,0.0,0.6578947368421049,1,2021,Pittsburgh,Massachusetts,1
-1.0,-0.25,-0.10000000000000009,0.0,0.25,-1.6666666666666667,2.0,0.0,-3.0,0.0,0.0,0.75,-0.6578947368421049,0,2021,Massachusetts,Pittsburgh,0
3.0,3.0,-3.0,3.0,0.0,2.0,-3.0,3.0,-2.0,-3.0,3.0,-3.0,2.2105263157894743,1,2021,Wyoming,Montana State,1
-3.0,-3.0,3.0,0.0,3.0,-3.0,2.0,-3.0,2.0,3.0,-3.0,3.0,-2.2105263157894743,0,2021,Montana State,Wyoming,0
1.0,1.0,-1.2000000000000002,1.5,-0.75,2.0,-1.0,2.0,3.0,3.0,1.0,-1.25,1.2105263157894735,1,2021,Texas,Louisiana,1
-1.0,-1.2000000000000002,1.0,-0.75,1.5,-1.0,2.0,-2.0,-3.0,-3.0,-1.25,1.0,-1.2105263157894735,0,2021,Louisiana,Texas,0
4.0,2.4,-3.0,3.5,-1.5,4.0,0.0,3.0,3.0,0.0,4.0,-3.0,3.263157894736842,1,2021,Iowa State,Northern Iowa,1
-4.0,-3.0,2.4,-1.5,3.5,0.0,4.0,-3.0,-3.0,0.0,-3.0,4.0,-3.263157894736842,0,2021,Northern Iowa,Iowa State,0
2.0,1.0,-1.4,1.0,-1.25,1.6666666666666665,-1.333333333333333,1.0,3.0,0.0,2.0,-1.25,1.5263157894736836,1,2021,USC,San José State,1
-2.0,-1.4,1.0,-1.25,1.0,-1.333333333333333,1.6666666666666665,-1.0,-3.0,0.0,-1.25,2.0,-1.5263157894736836,0,2021,San José State,USC,0
0.0,2.8,-3.0,2.25,0.0,2.0,0.0,3.0,2.0,0.0,2.25,0.0,0.6315789473684212,1,2021,Liberty,Campbell,1
0.0,-3.0,2.8,0.0,2.25,0.0,2.0,-3.0,-2.0,0.0,0.0,2.25,-0.6315789473684212,0,2021,Campbell,Liberty,0
3.0,3.0,-3.0,2.75,-3.0,2.0,-1.0,3.0,0.0,0.0,2.25,-3.0,3.1315789473684212,1,2021,Georgia Southern,Gardner-Webb,1
-3.0,-3.0,3.0,-3.0,2.75,-1.0,2.0,-3.0,0.0,0.0,-3.0,2.25,-3.1315789473684212,0,2021,Gardner-Webb,Georgia Southern,0
-1.0,0.0,0.25,-0.5,0.0,1.0,0.3333333333333335,0.0,2.0,2.0,0.0,1.0,-0.6578947368421053,1,2021,Ohio,Syracuse,0
1.0,0.25,0.0,0.0,-0.5,0.3333333333333335,1.0,0.0,-2.0,-2.0,1.0,0.0,0.6578947368421053,0,2021,Syracuse,Ohio,1
1.0,3.0,-3.25,2.0,-3.5,2.0,-3.0,4.0,0.0,0.0,3.5,-0.5,2.026315789473684,1,2021,SMU,Abilene Christian,1
-1.0,-3.25,3.0,-3.5,2.0,-3.0,2.0,-4.0,0.0,0.0,-0.5,3.5,-2.026315789473684,0,2021,Abilene Christian,SMU,0
1.0,3.0,-3.0,3.0,-2.0,3.0,-3.0,3.0,2.0,0.0,3.0,-1.0,1.6842105263157898,1,2021,Toledo,Norfolk State,1
-1.0,-3.0,3.0,-2.0,3.0,-3.0,3.0,-3.0,-2.0,0.0,-1.0,3.0,-1.6842105263157898,0,2021,Norfolk State,Toledo,0
4.0,2.0,-3.5,3.0,-0.5,4.0,0.0,0.0,0.0,3.0,4.0,-3.0,2.236842105263158,1,2021,Oklahoma State,Missouri State,1
-4.0,-3.5,2.0,-0.5,3.0,0.0,4.0,0.0,0.0,-3.0,-3.0,4.0,-2.236842105263158,0,2021,Missouri State,Oklahoma State,0
4.0,0.5,-2.5,2.5,-1.75,4.0,-3.0,3.0,3.0,0.0,3.5,-1.75,3.5263157894736845,1,2021,Memphis,Nicholls,1
-4.0,-2.5,0.5,-1.75,2.5,-3.0,4.0,-3.0,-3.0,0.0,-1.75,3.5,-3.5263157894736845,0,2021,Nicholls,Memphis,0
0.0,1.75,-3.0,2.75,-2.0,1.0,0.0,3.0,-2.0,0.0,2.25,0.0,1.2894736842105263,1,2021,Arkansas State,Central Arkansas,1
