year,team,conference,group,avg_stars,num_commits,avg_rating,gini,rank,points,period
2009,Northern Illinois,Mid-American,G5 / Ind.,2.263157894736842,19,0.7708842105263157,0.026672971512047793,102.0,114.72,pre_nil
2009,Northwestern,Big Ten,Power 4,2.8333333333333335,12,0.82625,0.025535383789116246,61.0,169.62,pre_nil
2009,Notre Dame,FBS Independents,G5 / Ind.,3.7142857142857144,14,0.9062,0.03841225258149066,15.0,246.29,pre_nil
2009,Ohio,Mid-American,G5 / Ind.,2.3125,16,0.76416875,0.045179299628788826,103.0,105.11,pre_nil
2009,Ohio State,Big Ten,Power 4,3.8333333333333335,18,0.9280944444444444,0.023023744807670655,5.0,281.93,pre_nil
2009,Oklahoma,Big 12,Power 4,4.0,9,0.9388666666666666,0.028174236565479096,9.0,262.78,pre_nil
2009,Oklahoma State,Big 12,Power 4,3.076923076923077,13,0.8512384615384616,0.03196178450739427,34.0,209.57,pre_nil
2009,Ole Miss,SEC,Power 4,3.090909090909091,22,0.8572772727272727,0.03169871326860368,17.0,240.24,pre_nil
2009,Oregon,Pac-10,G5 / Ind.,2.923076923076923,13,0.8406538461538461,0.03560908098317842,30.0,212.76,pre_nil
2009,Oregon State,Pac-10,G5 / Ind.,2.8095238095238093,21,0.8275333333333333,0.025461017902881355,51.0,184.11,pre_nil
2009,Penn State,Big Ten,Power 4,3.3125,16,0.8708,0.034682547259042844,19.0,233.47,pre_nil
2009,Pittsburgh,Big East,G5 / Ind.,3.2,15,0.8536333333333334,0.021222746962650266,43.0,197.86,pre_nil
2009,Purdue,Big Ten,Power 4,2.6875,16,0.811275,0.02608355642558248,71.0,160.65,pre_nil
2009,Rice,Conference USA,G5 / Ind.,2.4347826086956523,23,0.7944521739130436,0.02704958644424446,83.0,133.54,pre_nil
2009,Rutgers,Big East,G5 / Ind.,3.0,15,0.8542733333333333,0.03505617468842197,29.0,214.01,pre_nil
2009,SMU,Conference USA,G5 / Ind.,2.4545454545454546,22,0.8030409090909092,0.019091943144820364,73.0,159.25,pre_nil
2009,San Diego State,Mountain West,G5 / Ind.,2.388888888888889,18,0.7867166666666666,0.029839989389086375,85.0,131.67,pre_nil
2009,San José State,Western Athletic,G5 / Ind.,2.0,1,0.7,0.0,118.0,0.0,pre_nil
