team,conference,mascot,latitude,longitude,venue_name
Loras College,American Rivers,Duhawks,42.5006243,-90.6647985,Rock Bowl
McKendree,Great Lakes,Bearcats,38.6039375,-89.8073195,Leemon Field
MIT,NEWMAC,Engineers,42.3750997,-71.1056157,Henry G. Steinbrenner '27 Stadium
Nebraska Wesleyan,American Rivers,Prairie Wolves,40.8088861,-96.7077751,Abel Stadium
Shorter,Carolinas,Hawks,34.257038,-85.1646726,Barron Stadium
Sioux Falls,Northern Sun,Cougars,43.5488256,-96.7307737,Bob Young Field
Southwestern University,Southern Athletic,Pirates,30.6326942,-97.6772311,Birkelbach Field
Thiel,Presidents',Tomcats,31.8295972,-86.6177517,Alumni Stadium (PA)
Tiffin,Great Midwest Athletic,Dragons,41.114485,-83.1779537,Frost-Kalnow Stadium
University of Mary,Northern Sun,Marauders,46.808327,-100.783739,MDU Resources Community Bowl
Virginia Union,CIAA,Panthers,37.5385087,-77.43428,Hovey Field
