team,conference,mascot,latitude,longitude,venue_name
Central State (OH),SIAC,Marauders,39.6847822,-83.9296526,McPherson Memorial Stadium
Central Washington,Lone Star,Wildcats,46.9970635,-120.545122,Tomlinson Stadium
Centre College Kentucky,Southern Athletic,Colonels,37.6456488,-84.7721823,Farris Stadium
Chadron St,Rocky Mountain,Eagles,42.8309807,-103.0003729,Elliott Field at Don Beebe Stadium
Chapman,So. Cal.,Panthers,33.7500378,-117.8704931,Ernie Chapman Stadium
Charleston Southern,Big South-OVC,Buccaneers,32.9810239,-80.0659664,Buccaneer Field
Charlotte,American Athletic,49ers,35.3105033,-80.7401194,Jerry Richardson Stadium
Chattanooga,Southern,Mocs,35.0363792,-85.3158835,Finley Stadium
Chicago,Midwest,Maroons,41.8755616,-87.6244212,Amos Alonzo Stagg Field
Christopher Newport,New Jersey,Captains,36.9775016,-76.42977,TowneBank Stadium
Cincinnati,Big 12,Bearcats,39.1312495,-84.5161913,Nippert Stadium
Claremont-Mudd-Scripps College,So. Cal.,Stags,34.0966764,-117.7197785,Fritz B. Burns Stadium
Clarion,Pennsylvania State Athletic,Golden Eagles,41.2148975,-79.3857047,"Memorial Stadium (Clarion, PA)"
Clark Atlanta,SIAC,Panthers,33.7489924,-84.3902644,CAU Panther Stadium
Clemson,ACC,Tigers,34.6787737,-82.8432428,"Memorial Stadium (Clemson, SC)"
Coastal Carolina,Sun Belt,Chanticleers,33.7928506,-79.0166946,Brooks Stadium (SC)
Coast Guard,NEWMAC,Bears,41.3556187,-72.0997804,Cadet Memorial Field
Coe College,American Rivers,Kohawks,41.9758872,-91.6704053,Clark Field
Colby College,NESCAC,White Mules,44.5520105,-69.6317121,Seaverns Field At Harold Alfond Stadium
Colgate,Patriot,Raiders,42.8168991,-75.5452721,Andy Kerr Stadium
College Of New Jersey,New Jersey,Lions,40.2688105,-74.8006895,Lions Stadium
Colorado,Big 12,Buffaloes,40.0094746,-105.266905,Folsom Field
Colorado Mesa,Rocky Mountain,Mavericks,39.063956,-108.5507317,Ralph Stocker Stadium
Colorado School Of Mines,Rocky Mountain,Orediggers,39.7546349,-105.2205809,Marv Kay Stadium at Campbell Field
Colorado State,Pac-12,Rams,40.570015,-105.088435,Canvas Stadium
Columbia,Ivy,Lions,40.8732697,-73.9164594,Lawrence A. Wien Stadium
Concordia Moorhead,Minnesota,Cobbers,46.8739081,-96.7538674,Jake Christiansen Stadium
Concordia University Chicago,NACC,Cougars,41.8978091,-87.8139483,Concordia Stadium
Concordia University St Paul,Northern Sun,Golden Bears,44.9497487,-93.0931028,Sea Foam Stadium
Concordia-Wisconsin,NACC,Falcons,43.2219088,-87.9822969,Tomasini Stadium
Concord University,Mountain East,Mountain Lions,37.366328,-81.1026607,Callaghan Stadium
Cornell,Ivy,Big Red,42.4439016,-76.4785398,Schoellkopf Field
Cornell College (IA),Midwest,Rams,41.9222443,-91.4171209,Van Metre Field at Ash Park
Cortland,Empire 8,Red Dragons,41.2446453,-73.9259559,Stadium Red Field
CSU Pueblo,Rocky Mountain,Thunderwolves,38.2544472,-104.609141,Neta and Eddie DeRose ThunderBowl
Curry College,Commonwealth Coast,Colonels,42.2501425,-71.065573,Walter M. Katz Field
Dartmouth,Ivy,Big Green,43.701302,-72.2842781,Memorial Field
Davenport,GLIAC,Panthers,37.763382,-90.7729061,Farmers Insurance Athletic Complex
Davidson,Pioneer,Wildcats,35.4995744,-80.8428419,Richardson Stadium
Dayton,Pioneer,Flyers,39.7369239,-84.1981068,Welcome Stadium
Dean College,MSCAC,Bulldogs,34.440962,-87.8339064,Dale Lippert Field
Defiance College,,Yellow Jackets,41.2844933,-84.3557802,Justin F. Coressel Stadium
Delaware,Conference USA,Blue Hens,39.6617428,-75.7488224,Delaware Stadium
Delaware State,MEAC,Hornets,39.189375,-75.5433185,Alumni Stadium
Delaware Valley,Mid Atlantic,Aggies,40.30815835,-75.2164370939226,Robert A. Lipinski Field at James Work Memorial Stadium
Delta State,Gulf South,Statesmen,33.7440023,-90.7248187,Parker Field at McCool Stadium
Denison University,North Coast,Big Red,40.0681192,-82.5196037,Deeds Field-Piper Stadium
Depauw,North Coast,Tigers,39.6444898,-86.8647316,Blackstock Stadium
Dickinson (PA),Centennial,Red Devils,40.201499,-77.1890783,Biddle Field
Drake,Pioneer,Bulldogs,41.605,-93.655,Drake Stadium
Dubuque,American Rivers,Spartans,42.5006243,-90.6647985,Chalmers Field
Duke,ACC,Blue Devils,35.9953688,-78.9417564,Wallace Wade Stadium
Duquesne,NEC,Dukes,40.4355808,-79.9900263,Arthur J. Rooney Athletic Field
East Carolina,American Athletic,Pirates,35.5968486,-77.364564,Dowdy-Ficklen Stadium
East Central (OK),Great American,Tigers,34.7743383,-96.6783651,Koi Ishto Stadium
Eastern Illinois,Big South-OVC,Panthers,39.4804965,-88.1811618,O'Brien Stadium
Eastern Kentucky,UAC,Colonels,37.7344109,-84.2972854,Roy Kidd Stadium
Eastern Michigan,Mid-American,Eagles,42.256126,-83.647285,Rynearson Stadium
