year,team,rec_qb,rec_rb,rec_wr,rec_ol,rec_dl,rec_lb,rec_db
2017,West Virginia,,0.7964999973773956,0.8555999994277954,,0.8496999740600586,,0.8461500108242035
2017,Western Carolina,0.7583000063896179,,0.7699999809265137,0.7400000095367432,,0.766700029373169,
2017,Western Illinois,,0.7583000063896179,0.8155999779701233,,0.7744500041007996,0.7483000159263611,
2017,Western Kentucky,0.7825999855995178,0.7966500222682953,0.7818500101566315,0.7821599960327148,0.8066000044345856,,0.7799400091171265
2017,Western Michigan,,0.7858999967575073,0.7985333204269409,0.7789999842643738,0.7867749929428101,0.7986500114202499,0.7920666535695394
2017,William & Mary,0.8133000135421753,0.7799999713897705,0.766700029373169,,0.7744500041007996,,
2017,Wisconsin,0.810699999332428,0.8333500027656555,0.8728500008583069,0.8359400153160095,0.8669500052928925,,
2017,Wofford,,,,,0.7300000190734863,,
2017,Wyoming,,0.767799973487854,0.7842749953269958,0.7736749947071075,0.7895599961280823,0.7825999855995178,0.7701500058174133
2017,Yale,,0.8005500137805939,,0.7959499955177307,0.8016999959945679,0.7900000214576721,0.7869666616121928
2017,Youngstown State,,,,,0.8066999912261963,0.7682999968528748,
2018,Air Force,0.7878000140190125,0.7597000002861023,0.7918200135231018,0.7600750178098679,0.7729000051816305,0.7730857304164341,0.8003333210945129
2018,Akron,,0.8224666714668274,0.7798400044441223,0.7969750016927719,0.7597000002861023,,0.7903000116348267
2018,Alabama,0.7770000100135803,0.8852500021457672,0.9290000001589457,0.9472499787807465,0.9573799967765808,0.8952500224113464,0.9459500163793564
2018,Alabama State,,,0.7964000105857849,0.7775000035762787,,,
2018,Alcorn State,,0.7903000116348267,,0.7903000116348267,0.8165000081062317,,
2018,App State,0.8043000102043152,0.7297000288963318,0.8006500154733658,0.7740750163793564,0.7930999994277954,0.8008428641727993,0.7800500094890594
2018,Arizona,0.8738499879837036,0.8174999952316284,0.843583325544993,0.8452000021934509,0.8535000085830688,0.8496999740600586,0.856499989827474
2018,Arizona State,,0.8631666700045267,0.8741999864578247,0.8351749926805496,0.8674499988555908,0.8901333411534628,0.8786999980608622
2018,Arkansas,0.8600499927997589,,0.8755999803543091,0.8414000074068705,0.8659749925136566,0.8616999983787537,0.8771000107129415
2018,Arkansas State,,0.805733342965444,0.8084250092506409,0.8159500062465668,0.8109500110149384,,0.8064500093460083
2018,Army,0.7497000098228455,0.7702000141143799,0.7752000093460083,0.7567200064659119,0.7917250096797943,0.795128583908081,0.774180006980896
2018,Auburn,,0.9173666636149088,0.9259749948978424,0.8769499957561493,0.910649985074997,0.890333334604899,0.888533333937327
2018,Austin Peay,,0.8104000091552734,0.7743000030517578,0.7297000288963318,0.7742000222206116,0.7681000232696533,0.7547500133514404
2018,BYU,0.8364999890327454,0.7397000193595886,0.8087428637913295,0.8319749981164932,0.7942500114440918,0.8176200151443481,0.7983000079790751
2018,Ball State,0.805400013923645,0.7802000045776367,0.791100005308787,0.7935250103473663,0.7736500054597855,,0.7647500038146973
2018,Baylor,0.8504500091075897,0.8937000036239624,0.8765142815453666,0.8631599903106689,0.8560500144958496,,0.8633999824523926
2018,Bethune-Cookman,0.8004000186920166,,,,,,0.76910001039505
2018,Boise State,0.8219666679700216,0.8509500026702881,0.8503400087356567,0.8179000020027161,0.8091333508491516,0.8421000043551127,0.8548666636149088
2018,Boston College,0.8436999917030334,0.8270500004291534,0.841049998998642,0.8614000082015991,0.8349500000476837,0.8406999856233597,0.8386000096797943
2018,Bowling Green,0.8154000043869019,0.8332000076770782,0.7945000131924947,0.7987000048160553,0.8154000043869019,0.8404000103473663,0.8154000043869019
2018,Brown,,,,,,0.7641000151634216,
2018,Buffalo,0.7797999978065491,0.805400013923645,0.7682333389918009,0.7719500064849854,0.8064000010490417,0.7797999978065491,0.7997999787330627
2018,Butler,,,,0.8115000128746033,,,
2018,Cal Poly,,,,0.7597000002861023,,,
2018,California,,0.8763500154018402,0.8927499949932098,0.8611800074577332,0.8200250118970871,0.8368799924850464,0.8519500195980072
2018,Campbell,0.7897999882698059,,,0.76910001039505,,0.8064000010490417,
2018,Central Arkansas,,0.7953000068664551,0.8090999722480774,,0.8064000010490417,,
2018,Central Michigan,0.7951000034809113,0.784500002861023,0.8499000072479248,0.7803000211715698,0.7886500060558319,0.7761666774749756,0.8003749996423721
2018,Charlotte,0.7897999882698059,0.8425999879837036,0.813400000333786,0.7606333494186401,0.7748000025749207,0.7766500115394592,0.7747499942779541
2018,Chattanooga,,0.7580000162124634,0.7910000085830688,,0.8196000059445699,0.7742000222206116,0.8154000043869019
2018,Cincinnati,0.864300012588501,0.8112666606903076,0.8546857237815857,0.8214499950408936,0.8551999926567078,0.8410000205039978,0.8437333305676779
2018,Clemson,0.9998999834060669,0.9077000021934509,0.9401666522026062,0.9247500002384186,0.9519999980926513,0.9004000127315521,0.972000002861023
2018,Coastal Carolina,0.7943000197410583,0.7698000073432922,0.7812636440450494,0.7696999907493591,0.7901666760444641,0.7800000011920929,0.7764333287874857
2018,Colgate,,,,0.7698000073432922,,,
2018,Colorado,0.8608999848365784,0.8539000153541565,0.8668500185012817,0.8377000093460083,0.8509500026702881,0.8159999996423721,0.8423999845981598
2018,Colorado State,,,0.815449982881546,0.8184000054995219,0.820700004696846,0.8154250085353851,0.8368000090122223
2018,Columbia,0.7692000269889832,,0.8068000078201294,,0.7696999907493591,,
2018,Cornell,0.6995999813079834,,,,,,
2018,Dartmouth,,,0.7497000098228455,0.7803000211715698,,0.76910001039505,0.7597000002861023
2018,Delaware,,,,0.7797999978065491,,,
2018,Drake,0.7096999883651733,,,,,,
2018,Duke,0.8743000030517578,0.8371000289916992,0.8489750027656555,0.8481000065803528,0.8712500035762787,0.8655000030994415,0.864633321762085
2018,Duquesne,,,,,,0.7497000098228455,
2018,East Carolina,0.8454500138759613,0.8093000054359436,0.79585000872612,0.8240500092506409,0.8184200048446655,0.8073500096797943,0.8035800099372864
2018,East Tennessee State,,,,,,,
2018,Eastern Kentucky,0.7766500115394592,0.7597000002861023,0.7595333456993103,0.7555250078439713,,0.7397000193595886,0.7662000060081482
2018,Eastern Michigan,0.7698000073432922,,0.7960499823093414,0.7894750088453293,0.8299000263214111,,0.8171800017356873
2018,Eastern Washington,0.7748000025749207,0.7832000255584717,0.7781250029802322,0.724700003862381,0.7196999986966451,0.7196999788284302,0.7832000255584717
2018,Elon,,,,0.8115000128746033,,,0.7397000193595886
2018,Florida,0.8720000088214874,0.9208999872207642,0.9315249919891357,0.8920666774113973,0.9077499806880951,0.9003000259399414,0.9040500074625015
2018,Florida A&M,,,0.7903000116348267,,,,
2018,Florida Atlantic,0.8335000276565552,0.8403000235557556,,0.8021333416302999,0.8371500074863434,,0.8255000114440918
2018,Florida International,0.810699999332428,0.8465999960899353,0.8248800039291382,0.7761500179767609,0.8132799983024597,0.8478000164031982,0.8157000243663788
2018,Florida State,,0.8870999813079834,0.8909800052642822,0.883299986521403,0.8968200087547302,0.9208999872207642,0.9598250091075897
2018,Fordham,,,,0.7916666666666666,,,
2018,Fresno State,0.8079000115394592,,0.8098600149154663,0.7798750102519989,0.8048250079154968,0.7519499957561493,0.7884666721026102
2018,Furman,0.7903000116348267,0.7614000141620636,,,0.7842000126838684,,
2018,Gardner-Webb,,,,,,,0.8004000186920166
2018,Georgia,0.9998000264167786,0.9871500134468079,0.9350250065326691,0.9211666683355967,0.9206250011920929,0.9704999923706055,0.9336250126361847
